id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id
657,233829,30141031,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,1,1
658,233829,30191048,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,2,2
659,233829,31101173,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,3,3
660,233829,39024211,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,4,4
661,233829,39099906,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,5,5
662,233829,39102121,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,6,6
663,233829,39104319,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,7,7
664,233829,39106504,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,8,8
665,233829,39106604,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,9,9
666,233829,39107504,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,10,10
667,233829,39128321,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,11,11
668,233829,39166511,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,12,12
669,233829,39167404,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,13,13
670,233829,39168904,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,14,14
671,233829,39172420,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,15,15
672,233829,39177304,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,16,16
673,233829,39186420,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,17,17
674,233829,39200511,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,18,18
675,233829,39203804,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,19,19
676,233829,39214124,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,20,20
677,233829,39218106,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,21,21
678,233829,39218520,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,22,22
679,233829,39242704,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,23,23
680,233829,39256220,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,24,24
681,233829,39260120,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,25,25
682,233829,39260320,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,26,26
683,233829,39260607,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,27,27
684,233829,39260801,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,28,28
685,233829,39266921,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,29,29
686,233829,59040005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,30,30
687,233829,59210023,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,31,31
688,233829,60111418,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,32,32
689,233829,BA102003,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,33,33
690,233829,CB101022,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,34,34
691,233829,CS101128,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,35,35
692,233829,DD201002,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,36,36
693,233829,DG101275,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,37,37
694,233829,DG101456,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,38,38
695,233829,DG181004,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,39,39
696,233829,DG181005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,40,40
697,233829,DG181045,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,41,41
698,233829,DG181046,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,42,42
699,233829,DG181047,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,43,43
700,233829,DH101048,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,44,44
701,233829,DH101392,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,45,45
702,233829,DH171019,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,46,46
703,233829,DH191007,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,47,47
704,233829,DJ101300,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,48,48
705,233829,DJ161007,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,49,49
706,233829,DJ181126,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,50,50
707,233829,DK101225,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,51,51
708,233829,DK101340,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,52,52
709,233829,DK101386,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,53,53
710,233829,DK141005,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,54,54
711,233829,DK181043,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,55,55
712,233829,DK181050,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,56,56
713,233829,DK181051,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,57,57
714,233829,DK181076,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,58,58
715,233829,DP101191,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,59,59
716,233829,DS101154,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,60,60
717,233829,DS121126,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,61,61
718,233829,DS141012,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,62,62
719,233829,DS161082,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,63,63
720,233829,DS161156,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,64,64
721,233829,DS191052,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,65,65
722,233829,DT131209,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,66,66
723,233829,DT131210,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,67,67
724,233829,DT551200,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,68,68
725,233829,EC561023,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,69,69
726,233829,JA541021,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,70,70
727,233829,JC101077,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,71,71
728,233829,JC141017,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,72,72
729,233829,JD113014,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,73,73
730,233829,JD402212,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,74,74
731,233829,JD402217,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,75,75
732,233829,JG111139,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,76,76
733,233829,JG113001,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,77,77
734,233829,JG113007,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,78,78
735,233829,JG113010,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,79,79
736,233829,JG113020,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,80,80
737,233829,JG113024,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,81,81
738,233829,JG113029,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,82,82
739,233829,JG113034,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,83,83
740,233829,JG113035,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,84,84
741,233829,JG113043,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,85,85
742,233829,JG113052,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,86,86
743,233829,JG113058,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,87,87
744,233829,JG113059,0,1,EA,2013-06-22,9999-12-31,,,,SCH01220613,,88,88
